                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3892,                 1.5692,                0.91613,                0.44985,                0.34644,                0.34452,                0.22555,                 1.3156,                 1.9734,                0.91332,              0.0083517,              0.0083517,              0.0083517
                     36,                 1.3826,                 1.5718,                0.91552,                0.45236,                0.36029,                0.36999,                 0.2387,                 1.2989,                 1.9669,                0.91719,              0.0083017,              0.0083017,              0.0083017
                     37,                 1.3849,                   1.58,                0.92044,                0.01483,                  0.358,                0.01329,                0.00833,                    nan,                    nan,                    nan,              0.0082518,              0.0082518,              0.0082518
                     38,                 1.3312,                 1.5277,                0.91145,                0.43386,                0.36619,                0.34956,                0.22726,                 1.3069,                 1.8651,                0.91242,              0.0082018,              0.0082018,              0.0082018
                     39,                 1.3641,                 1.5315,                 0.9058,                0.48069,                0.33085,                0.33713,                 0.2304,                 1.2963,                 1.9969,                0.90948,              0.0081518,              0.0081518,              0.0081518
                     40,                 1.3786,                 1.5554,                0.91311,                  0.496,                0.33967,                0.35959,                0.23415,                 1.2771,                 1.8972,                0.90759,              0.0081019,              0.0081019,              0.0081019
                     41,                 1.3311,                 1.4812,                0.90351,                0.43855,                0.37874,                0.36905,                0.24119,                 1.2897,                 1.6991,                0.90816,              0.0080519,              0.0080519,              0.0080519
                     42,                 1.3694,                 1.5493,                0.90672,                0.47127,                0.27442,                0.29788,                0.20338,                 1.3334,                 2.1756,                0.92548,               0.008002,               0.008002,               0.008002
                     43,                 1.3308,                 1.5062,                0.90839,                0.45391,                0.39214,                0.39624,                0.26042,                 1.2859,                 1.6504,                 0.9113,              0.0079521,              0.0079521,              0.0079521
                     44,                  1.363,                 1.5335,                0.91326,                0.50154,                0.34214,                0.40028,                0.25715,                 1.3326,                 1.7038,                  0.911,              0.0079021,              0.0079021,              0.0079021
                     45,                  1.361,                 1.4937,                 0.9047,                0.45671,                0.37715,                0.39394,                0.24962,                 1.3331,                 1.8013,                0.91579,              0.0078522,              0.0078522,              0.0078522
                     46,                 1.3181,                 1.4339,                0.90193,                0.54869,                0.33546,                0.39439,                  0.253,                 1.3205,                 1.7147,                0.91748,              0.0078022,              0.0078022,              0.0078022
                     47,                 1.3408,                 1.4851,                0.90539,                0.50272,                0.37844,                0.41006,                0.27266,                 1.2831,                 1.7211,                0.90589,              0.0077523,              0.0077523,              0.0077523
                     48,                 1.3381,                 1.4743,                0.90606,                0.43948,                0.41631,                0.39662,                0.26676,                 1.2801,                  1.664,                0.90505,              0.0077023,              0.0077023,              0.0077023
                     49,                 1.3437,                 1.4671,                0.90191,                0.50483,                0.38479,                0.41428,                0.27187,                 1.2985,                 1.6625,                 0.9097,              0.0076524,              0.0076524,              0.0076524
                     50,                 1.3503,                 1.4288,                0.90502,                0.50613,                0.39202,                0.42668,                0.28136,                 1.2785,                 1.6233,                 0.9044,              0.0076024,              0.0076024,              0.0076024
                     51,                  1.319,                 1.4195,                 0.9073,                0.46321,                0.40689,                0.41269,                0.27587,                 1.2705,                 1.6688,                 0.8999,              0.0075525,              0.0075525,              0.0075525
                     52,                 1.3287,                 1.4414,                0.89679,                0.47393,                0.40941,                0.43382,                0.29027,                 1.2611,                 1.5887,                0.90021,              0.0075025,              0.0075025,              0.0075025
                     53,                 1.3016,                 1.4019,                0.89727,                0.44797,                0.40044,                0.41804,                0.27585,                 1.2919,                 1.6247,                0.90704,              0.0074526,              0.0074526,              0.0074526
                     54,                 1.3175,                 1.4236,                0.90463,                0.49142,                0.39094,                 0.4106,                0.26533,                 1.2869,                 1.6987,                0.91263,              0.0074026,              0.0074026,              0.0074026
                     55,                 1.3226,                 1.3914,                 0.8977,                0.48375,                0.41838,                0.43715,                0.29073,                 1.2551,                 1.6118,                 0.9001,              0.0073526,              0.0073526,              0.0073526
                     56,                 1.3209,                  1.385,                0.90421,                0.47675,                0.38387,                0.40988,                0.27103,                 1.3133,                 1.7029,                0.91291,              0.0073027,              0.0073027,              0.0073027
                     57,                 1.3312,                 1.4097,                0.90236,                0.46876,                 0.4514,                0.46202,                0.31306,                 1.2559,                  1.605,                0.90317,              0.0072528,              0.0072528,              0.0072528
                     58,                 1.3103,                 1.3712,                0.90025,                0.46341,                 0.4011,                0.43251,                0.29001,                 1.2755,                 1.6657,                0.90121,              0.0072028,              0.0072028,              0.0072028
                     59,                 1.2911,                 1.3496,                0.89722,                0.48183,                0.41758,                0.44603,                0.30581,                 1.2559,                 1.5587,                0.90149,              0.0071529,              0.0071529,              0.0071529
                     60,                 1.3222,                 1.3862,                0.89645,                0.47382,                0.41095,                 0.4238,                0.28032,                 1.2766,                 1.6156,                 0.9002,              0.0071029,              0.0071029,              0.0071029
                     61,                 1.2966,                 1.3595,                0.89499,                 0.5081,                 0.4142,                0.45017,                0.29749,                  1.237,                 1.5547,                0.90147,               0.007053,               0.007053,               0.007053
                     62,                  1.276,                 1.3216,                0.88741,                0.48987,                0.41241,                0.44621,                0.29943,                 1.2262,                 1.5505,                0.89922,               0.007003,               0.007003,               0.007003
                     63,                 1.2726,                 1.3272,                0.89605,                0.49756,                0.41861,                0.46198,                0.31061,                 1.2458,                 1.5479,                0.89382,              0.0069531,              0.0069531,              0.0069531
                     64,                  1.289,                 1.3071,                0.89143,                0.48019,                0.43075,                0.44483,                 0.2945,                 1.2446,                 1.5406,                0.89698,              0.0069031,              0.0069031,              0.0069031
                     65,                 1.2919,                 1.3206,                0.89152,                0.47094,                0.40534,                 0.4152,                0.27506,                 1.2752,                 1.6525,                0.90172,              0.0068532,              0.0068532,              0.0068532
                     66,                 1.2898,                  1.331,                 0.8974,                0.54008,                0.38378,                0.46543,                0.29672,                 1.2969,                 1.5866,                0.90883,              0.0068032,              0.0068032,              0.0068032
                     67,                 1.3009,                 1.3214,                0.89859,                0.50093,                0.42103,                0.45788,                0.29441,                 1.2743,                 1.5984,                0.90017,              0.0067533,              0.0067533,              0.0067533
                     68,                 1.2948,                 1.3097,                0.89453,                0.50499,                0.42177,                0.45372,                0.30432,                 1.2361,                 1.5124,                 0.8957,              0.0067033,              0.0067033,              0.0067033
                     69,                 1.2766,                  1.285,                0.88716,                0.47699,                0.43177,                0.44292,                0.28974,                 1.2433,                 1.5346,                0.89999,              0.0066534,              0.0066534,              0.0066534
                     70,                 1.2909,                 1.3308,                0.89653,                0.50886,                0.40092,                0.44888,                0.30194,                 1.2443,                 1.5877,                0.90101,              0.0066034,              0.0066034,              0.0066034
                     71,                 1.2906,                 1.2833,                0.88939,                0.49945,                0.41829,                0.45726,                0.29362,                 1.3034,                 1.5915,                0.90305,              0.0065535,              0.0065535,              0.0065535
                     72,                 1.2907,                 1.2755,                0.89688,                0.51934,                0.44108,                0.46657,                0.30706,                 1.2655,                 1.5245,                0.90461,              0.0065035,              0.0065035,              0.0065035
                     73,                 1.2999,                 1.2857,                0.88822,                0.52142,                0.44949,                0.48467,                 0.3199,                 1.2399,                 1.4788,                0.90026,              0.0064536,              0.0064536,              0.0064536
                     74,                 1.2961,                 1.2891,                0.89614,                0.49671,                0.45603,                 0.4917,                0.32285,                 1.2567,                 1.4639,                0.89899,              0.0064036,              0.0064036,              0.0064036
                     75,                 1.2757,                 1.2362,                0.89079,                0.49705,                0.44369,                0.48144,                0.31804,                 1.2287,                 1.5169,                0.90179,              0.0063536,              0.0063536,              0.0063536
                     76,                 1.2721,                 1.2723,                0.88844,                0.50411,                0.43267,                0.46668,                0.31876,                 1.2445,                 1.5475,                0.89529,              0.0063037,              0.0063037,              0.0063037
                     77,                  1.279,                 1.2492,                  0.892,                0.45737,                0.44435,                0.46691,                 0.3116,                 1.2528,                 1.5604,                0.90636,              0.0062538,              0.0062538,              0.0062538
                     78,                 1.2804,                 1.2548,                0.88658,                0.55716,                0.40684,                0.47147,                 0.3194,                 1.2447,                 1.4516,                0.89959,              0.0062038,              0.0062038,              0.0062038
                     79,                 1.2771,                 1.2412,                0.89098,                0.57655,                 0.4115,                0.47563,                0.31412,                 1.2599,                  1.532,                0.90618,              0.0061538,              0.0061538,              0.0061538
                     80,                 1.2494,                 1.2248,                0.88496,                0.52379,                0.45416,                0.49213,                0.33616,                 1.2059,                  1.503,                0.89147,              0.0061039,              0.0061039,              0.0061039
                     81,                 1.2898,                 1.2779,                0.89393,                0.50968,                0.42395,                0.47086,                0.31217,                 1.2583,                 1.6924,                0.90286,               0.006054,               0.006054,               0.006054
                     82,                 1.2629,                 1.2436,                 0.8893,                0.55159,                0.42531,                0.48782,                0.33009,                 1.2386,                 1.5027,                0.89376,               0.006004,               0.006004,               0.006004
                     83,                 1.2495,                 1.2408,                 0.8877,                0.50243,                0.44162,                0.48972,                0.33102,                 1.2253,                 1.4994,                0.89126,               0.005954,               0.005954,               0.005954
                     84,                 1.2588,                 1.2402,                0.88687,                0.60575,                0.40355,                0.48504,                0.32884,                  1.208,                  1.451,                0.88846,              0.0059041,              0.0059041,              0.0059041
                     85,                 1.2575,                  1.184,                0.89312,                0.52443,                0.44538,                0.48709,                0.33785,                 1.2243,                 1.4561,                0.89255,              0.0058542,              0.0058542,              0.0058542
                     86,                 1.2635,                 1.2123,                 0.8845,                0.61824,                0.39442,                0.50408,                0.34061,                 1.2308,                 1.3882,                0.89364,              0.0058042,              0.0058042,              0.0058042
                     87,                 1.2523,                 1.2033,                 0.8888,                0.58116,                0.44529,                0.49476,                0.33586,                 1.2076,                 1.4692,                0.89216,              0.0057542,              0.0057542,              0.0057542
                     88,                 1.2375,                 1.1786,                0.88578,                0.58238,                 0.4532,                 0.5004,                0.34025,                 1.2069,                   1.46,                0.88887,              0.0057043,              0.0057043,              0.0057043
                     89,                 1.2384,                 1.1852,                0.88452,                0.51738,                0.46616,                0.49499,                0.33881,                 1.2097,                 1.5191,                0.88545,              0.0056543,              0.0056543,              0.0056543
                     90,                  1.259,                 1.2295,                0.88574,                0.50884,                 0.4697,                0.50183,                0.34193,                 1.2026,                 1.4117,                0.88816,              0.0056044,              0.0056044,              0.0056044
                     91,                  1.237,                 1.1693,                0.87523,                0.53291,                0.43155,                0.47849,                0.31802,                 1.2009,                 1.5138,                0.89026,              0.0055544,              0.0055544,              0.0055544
                     92,                 1.2313,                 1.1627,                0.88711,                 0.5156,                0.43399,                0.48571,                0.32186,                 1.2236,                 1.4661,                0.89164,              0.0055045,              0.0055045,              0.0055045
                     93,                 1.2122,                 1.1566,                0.88717,                0.58054,                0.45024,                0.50804,                 0.3467,                 1.2079,                 1.4103,                0.89205,              0.0054545,              0.0054545,              0.0054545
                     94,                 1.2377,                 1.1464,                0.87906,                0.60292,                0.43823,                0.51504,                0.34345,                   1.21,                 1.3672,                0.89238,              0.0054046,              0.0054046,              0.0054046
                     95,                 1.2314,                 1.1481,                0.88584,                0.60175,                0.43812,                0.51138,                0.34246,                 1.2059,                 1.4131,                0.88916,              0.0053546,              0.0053546,              0.0053546
                     96,                 1.2159,                 1.1387,                0.87992,                0.53536,                0.46054,                0.50213,                0.34732,                 1.2007,                 1.3817,                0.89076,              0.0053047,              0.0053047,              0.0053047
                     97,                 1.2272,                 1.1431,                0.88458,                0.50081,                0.46598,                0.49534,                0.33525,                 1.2042,                 1.4503,                0.89224,              0.0052548,              0.0052548,              0.0052548
                     98,                 1.2285,                  1.143,                0.87783,                0.55234,                 0.4726,                0.52179,                0.35221,                 1.1861,                 1.3679,                0.88983,              0.0052048,              0.0052048,              0.0052048
                     99,                 1.2249,                 1.1368,                0.87689,                0.56097,                0.45032,                0.50748,                0.33911,                 1.1963,                 1.3965,                0.88571,              0.0051548,              0.0051548,              0.0051548
                    100,                 1.2202,                 1.1469,                0.87592,                0.53109,                0.48895,                0.52514,                0.35975,                 1.1815,                 1.3307,                0.88286,              0.0051049,              0.0051049,              0.0051049
                    101,                 1.2216,                 1.1195,                0.88185,                0.58324,                 0.4733,                 0.5296,                0.35775,                 1.1924,                 1.3653,                0.88789,               0.005055,               0.005055,               0.005055
                    102,                 1.2343,                 1.1344,                0.89342,                0.56053,                0.46156,                0.51193,                0.34981,                 1.2154,                 1.3936,                0.89053,               0.005005,               0.005005,               0.005005
                    103,                 1.2031,                 1.1194,                0.87546,                0.57271,                0.46943,                0.52447,                0.35186,                 1.1877,                 1.3545,                0.88425,               0.004955,               0.004955,               0.004955
                    104,                  1.214,                   1.12,                0.87859,                0.53556,                0.44563,                0.48703,                0.33966,                 1.1949,                 1.4608,                0.88832,              0.0049051,              0.0049051,              0.0049051
                    105,                 1.2295,                 1.1366,                0.88267,                0.57275,                0.42139,                0.50496,                0.34014,                 1.1842,                 1.4634,                0.89011,              0.0048551,              0.0048551,              0.0048551
                    106,                 1.2131,                 1.1048,                0.87256,                0.58998,                0.46884,                0.53689,                0.35989,                 1.1835,                 1.3339,                0.88527,              0.0048052,              0.0048052,              0.0048052
                    107,                 1.2101,                 1.1007,                0.87642,                0.54429,                0.48818,                0.51858,                0.34675,                 1.2012,                   1.41,                 0.8858,              0.0047552,              0.0047552,              0.0047552
                    108,                 1.2108,                 1.0943,                0.87829,                0.56139,                0.46528,                0.51968,                0.35015,                 1.1964,                 1.3558,                0.88921,              0.0047053,              0.0047053,              0.0047053
                    109,                 1.1871,                 1.0838,                0.88129,                 0.6285,                0.43837,                0.52146,                0.35292,                 1.2011,                 1.3989,                 0.8874,              0.0046553,              0.0046553,              0.0046553
                    110,                 1.2073,                 1.0976,                0.87553,                0.61018,                0.43856,                0.50896,                0.33216,                 1.2588,                 1.3702,                 0.8979,              0.0046054,              0.0046054,              0.0046054
                    111,                 1.1923,                  1.073,                0.87637,                0.53839,                0.46427,                0.50989,                0.34339,                 1.2273,                 1.4224,                0.89461,              0.0045554,              0.0045554,              0.0045554
                    112,                 1.2099,                 1.0967,                0.87285,                0.55582,                 0.4785,                0.52772,                0.35514,                 1.1926,                  1.367,                0.88373,              0.0045055,              0.0045055,              0.0045055
                    113,                 1.2186,                 1.0874,                0.86913,                0.54629,                0.47666,                0.53896,                0.36856,                 1.1674,                 1.2779,                0.88369,              0.0044555,              0.0044555,              0.0044555
                    114,                 1.2057,                 1.0587,                0.87292,                0.56835,                0.47862,                0.53593,                0.36229,                  1.185,                 1.3071,                0.88304,              0.0044056,              0.0044056,              0.0044056
                    115,                 1.1965,                 1.0489,                0.87511,                0.52332,                0.49902,                0.52485,                 0.3523,                 1.1916,                 1.3214,                0.88777,              0.0043557,              0.0043557,              0.0043557
                    116,                 1.1869,                 1.0742,                 0.8776,                0.55795,                0.46637,                0.52745,                0.35512,                 1.1885,                 1.3245,                0.88565,              0.0043057,              0.0043057,              0.0043057
                    117,                 1.2032,                 1.0666,                0.87434,                0.56293,                0.48235,                  0.526,                0.35465,                 1.2075,                  1.377,                0.88471,              0.0042558,              0.0042558,              0.0042558
                    118,                 1.1901,                 1.0582,                 0.8736,                0.60967,                0.46452,                0.53846,                0.36182,                 1.1593,                 1.3072,                0.87993,              0.0042058,              0.0042058,              0.0042058
                    119,                 1.2069,                 1.0523,                0.87242,                0.63655,                0.46174,                0.53782,                0.35947,                  1.183,                 1.3147,                0.88408,              0.0041559,              0.0041559,              0.0041559
                    120,                 1.2015,                 1.0465,                0.87797,                0.58105,                 0.4549,                0.52352,                0.35348,                 1.1803,                 1.3619,                0.88485,              0.0041059,              0.0041059,              0.0041059
                    121,                 1.1925,                  1.055,                0.87218,                0.59597,                0.45155,                0.52385,                0.34963,                   1.18,                 1.3526,                0.88512,               0.004056,               0.004056,               0.004056
                    122,                 1.1809,                  1.027,                0.87308,                0.59605,                0.45548,                0.53973,                0.36412,                 1.1823,                  1.313,                0.88481,               0.004006,               0.004006,               0.004006
                    123,                 1.1824,                 1.0262,                   0.87,                0.54061,                 0.4812,                 0.5334,                0.36425,                 1.1786,                 1.3291,                0.89087,              0.0039561,              0.0039561,              0.0039561
                    124,                 1.1997,                 1.0373,                0.87412,                0.65468,                0.45672,                0.54709,                0.37133,                 1.1762,                 1.3234,                0.88592,              0.0039061,              0.0039061,              0.0039061
                    125,                 1.2043,                 1.0404,                0.87675,                0.62214,                0.45333,                 0.5322,                0.36464,                 1.1758,                 1.2824,                0.88542,              0.0038562,              0.0038562,              0.0038562
                    126,                 1.1671,                 1.0163,                0.87396,                0.61788,                0.46424,                0.54552,                0.37306,                 1.1696,                 1.2538,                0.88417,              0.0038062,              0.0038062,              0.0038062
                    127,                 1.1873,                 1.0075,                0.87338,                 0.5928,                0.47511,                0.52777,                0.35955,                 1.1508,                 1.2907,                 0.8855,              0.0037563,              0.0037563,              0.0037563
                    128,                 1.1895,                 1.0054,                0.87085,                0.57848,                0.47864,                0.53273,                0.36569,                 1.1602,                 1.3216,                0.88032,              0.0037063,              0.0037063,              0.0037063
                    129,                 1.1702,                0.98883,                0.87162,                0.60553,                0.48402,                0.54582,                0.36963,                 1.1698,                 1.2579,                0.87753,              0.0036564,              0.0036564,              0.0036564
                    130,                 1.1809,                0.99352,                0.86217,                0.55473,                0.49038,                0.53418,                0.36483,                 1.1718,                 1.3127,                0.88237,              0.0036064,              0.0036064,              0.0036064
                    131,                 1.1735,                 1.0053,                 0.8697,                0.61123,                 0.4633,                0.54193,                0.36568,                 1.1586,                 1.3102,                 0.8799,              0.0035565,              0.0035565,              0.0035565
                    132,                 1.1815,                0.99614,                0.86826,                0.57419,                0.48595,                 0.5536,                0.37725,                 1.1651,                 1.2818,                0.88246,              0.0035065,              0.0035065,              0.0035065
                    133,                  1.175,                0.99821,                0.87236,                0.58319,                0.48672,                0.55426,                0.37179,                 1.1773,                  1.283,                0.88637,              0.0034566,              0.0034566,              0.0034566
                    134,                 1.1655,                0.97971,                 0.8637,                0.56904,                0.49318,                0.53672,                0.36483,                 1.1549,                 1.3054,                 0.8818,              0.0034066,              0.0034066,              0.0034066
                    135,                 1.1454,                0.95841,                0.86295,                0.57236,                0.49096,                0.54303,                0.36782,                 1.1701,                 1.3391,                0.88207,              0.0033567,              0.0033567,              0.0033567
                    136,                 1.1563,                0.96921,                0.86428,                0.57743,                0.49802,                0.54673,                0.36226,                 1.1823,                 1.3162,                 0.8827,              0.0033067,              0.0033067,              0.0033067
                    137,                 1.1605,                0.96693,                0.86546,                0.57683,                0.52198,                0.55803,                0.38155,                 1.1724,                 1.2881,                0.88319,              0.0032567,              0.0032567,              0.0032567
                    138,                 1.1537,                0.95472,                0.86778,                0.57809,                 0.5134,                0.55291,                0.38168,                 1.1581,                 1.2904,                0.88252,              0.0032068,              0.0032068,              0.0032068
                    139,                 1.1655,                0.96788,                0.86852,                0.57979,                0.48524,                0.53547,                0.36981,                 1.1636,                 1.3213,                0.88335,              0.0031568,              0.0031568,              0.0031568
                    140,                 1.1276,                0.93451,                0.86434,                0.60155,                0.51163,                0.56895,                0.38724,                 1.1461,                 1.2559,                0.87653,              0.0031069,              0.0031069,              0.0031069
                    141,                 1.1336,                0.94244,                0.86839,                0.58623,                0.49086,                0.54879,                0.37494,                 1.1465,                 1.2617,                0.87719,               0.003057,               0.003057,               0.003057
                    142,                 1.1458,                0.96449,                0.86876,                0.61285,                0.48911,                0.55427,                0.37634,                 1.1548,                 1.2727,                0.87693,               0.003007,               0.003007,               0.003007
