                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.81213,                 1.0194,                 1.0509,                 0.6002,                0.65539,                0.66173,                0.49933,                 1.0091,                 1.5821,                 1.2199,               0.009051,               0.009051,               0.009051
                     22,                0.81705,                 1.0069,                 1.0548,                0.68002,                0.68605,                0.76767,                0.62369,                0.80003,                 1.3549,                 1.0802,               0.009001,               0.009001,               0.009001
                     23,                0.82156,                0.99924,                 1.0551,                0.56333,                0.57025,                0.61076,                0.47955,                 0.9055,                 2.0641,                 1.1622,              0.0089511,              0.0089511,              0.0089511
                     24,                0.80965,                0.99138,                  1.053,                0.57323,                0.53036,                0.59977,                0.43107,                 1.1068,                 1.6293,                  1.374,              0.0089011,              0.0089011,              0.0089011
                     25,                0.80648,                 1.0171,                 1.0524,                0.59529,                0.68699,                0.68494,                0.52913,                0.87976,                 1.3635,                 1.1464,              0.0088512,              0.0088512,              0.0088512
                     26,                0.81613,                0.99153,                 1.0508,                0.81728,                0.66475,                0.76316,                 0.6025,                0.87403,                 1.2576,                 1.1228,              0.0088012,              0.0088012,              0.0088012
                     27,                0.80816,                0.97766,                 1.0505,                0.69872,                0.72493,                0.76244,                0.61903,                0.78312,                 1.2368,                  1.069,              0.0087513,              0.0087513,              0.0087513
                     28,                0.80319,                0.98004,                 1.0487,                0.71377,                0.62995,                0.70169,                0.57059,                0.81621,                 1.2922,                 1.0996,              0.0087013,              0.0087013,              0.0087013
                     29,                0.80523,                0.98539,                  1.052,                 0.7242,                0.68039,                0.73592,                0.47049,                 1.4034,                 1.3742,                   1.69,              0.0086514,              0.0086514,              0.0086514
                     30,                0.81243,                0.97811,                 1.0514,                0.68175,                0.62368,                0.74492,                0.59139,                0.82063,                 1.3158,                 1.0915,              0.0086014,              0.0086014,              0.0086014
                     31,                 0.8072,                0.97843,                 1.0511,                0.56138,                0.54022,                0.53918,                0.42739,                0.97911,                 2.2906,                  1.249,              0.0085515,              0.0085515,              0.0085515
                     32,                0.79839,                0.96427,                 1.0467,                0.68201,                 0.6489,                0.65489,                0.50786,                0.94373,                 1.3244,                 1.1829,              0.0085015,              0.0085015,              0.0085015
                     33,                0.79815,                0.94575,                 1.0484,                0.70882,                0.61889,                0.69315,                0.55915,                0.79334,                 1.3871,                 1.0694,              0.0084516,              0.0084516,              0.0084516
                     34,                0.80286,                0.95087,                 1.0486,                0.71194,                0.74941,                0.78858,                0.60796,                0.86683,                 1.1613,                 1.1494,              0.0084016,              0.0084016,              0.0084016
                     35,                0.79913,                 0.9497,                 1.0465,                0.71055,                0.68735,                0.71031,                0.54798,                 0.9061,                 1.2765,                 1.1572,              0.0083517,              0.0083517,              0.0083517
                     36,                0.79081,                0.93383,                 1.0471,                0.68717,                0.68673,                 0.7118,                0.57119,                0.80674,                 1.2375,                 1.0776,              0.0083017,              0.0083017,              0.0083017
                     37,                0.79538,                0.93802,                 1.0446,                0.77441,                0.81754,                0.83461,                0.66981,                 0.7986,                0.92976,                 1.0858,              0.0082518,              0.0082518,              0.0082518
                     38,                0.79888,                0.93565,                 1.0475,                0.78577,                 0.7284,                0.77785,                 0.5821,                0.95304,                 1.1785,                 1.1876,              0.0082018,              0.0082018,              0.0082018
                     39,                0.78646,                 0.9153,                 1.0422,                0.66119,                0.71059,                 0.7417,                0.55551,                 0.9133,                  1.446,                 1.1737,              0.0081518,              0.0081518,              0.0081518
                     40,                0.79026,                0.91068,                 1.0424,                0.69143,                0.65797,                0.76659,                0.55348,                 1.0655,                 1.3666,                 1.2655,              0.0081019,              0.0081019,              0.0081019
                     41,                 0.7856,                0.90978,                 1.0431,                0.65931,                0.60862,                0.63761,                 0.5015,                0.89303,                 1.6086,                 1.1515,              0.0080519,              0.0080519,              0.0080519
                     42,                 0.7898,                0.91253,                 1.0425,                 0.6901,                0.62745,                0.71797,                0.50351,                 1.1822,                 1.4465,                 1.3924,               0.008002,               0.008002,               0.008002
                     43,                0.79776,                0.93907,                  1.048,                0.72652,                0.81909,                0.82336,                0.66475,                 0.7639,                0.96515,                 1.0412,              0.0079521,              0.0079521,              0.0079521
                     44,                0.78611,                 0.9085,                 1.0396,                0.86298,                0.69066,                0.79762,                0.62915,                0.82661,                 1.0981,                 1.0923,              0.0079021,              0.0079021,              0.0079021
                     45,                0.80041,                0.92017,                 1.0465,                 0.6456,                0.67576,                0.67446,                0.52806,                0.89491,                 1.2432,                 1.1792,              0.0078522,              0.0078522,              0.0078522
                     46,                0.79822,                0.91462,                 1.0477,                0.74313,                0.81989,                0.81207,                0.65075,                0.77866,                0.91942,                 1.0667,              0.0078022,              0.0078022,              0.0078022
                     47,                0.79108,                0.91666,                 1.0427,                0.60566,                0.68982,                0.73445,                0.58454,                0.81466,                 1.3903,                 1.0892,              0.0077523,              0.0077523,              0.0077523
                     48,                0.79497,                0.91789,                 1.0464,                0.60101,                0.66465,                0.68787,                  0.549,                0.80134,                 1.5132,                   1.08,              0.0077023,              0.0077023,              0.0077023
                     49,                0.78849,                0.90201,                 1.0424,                0.69363,                0.75453,                0.79593,                0.64191,                0.79716,                 1.0949,                 1.0781,              0.0076524,              0.0076524,              0.0076524
                     50,                0.78515,                 0.8944,                 1.0433,                0.74959,                0.48336,                0.60821,                0.50624,                0.81543,                 1.8171,                 1.0836,              0.0076024,              0.0076024,              0.0076024
                     51,                0.78986,                0.89666,                 1.0407,                0.75466,                0.70489,                0.75642,                0.61876,                 0.7988,                 1.3134,                 1.0879,              0.0075525,              0.0075525,              0.0075525
                     52,                0.78759,                0.89635,                 1.0428,                0.66417,                0.70334,                0.75244,                0.51088,                  1.142,                 1.3257,                 1.4578,              0.0075025,              0.0075025,              0.0075025
                     53,                0.77578,                0.87882,                 1.0386,                0.77905,                0.70234,                0.77777,                0.63641,                0.78676,                 1.1676,                 1.0648,              0.0074526,              0.0074526,              0.0074526
                     54,                0.79755,                0.90024,                 1.0439,                0.67848,                0.56444,                0.60928,                0.44856,                  1.109,                 1.5003,                 1.2932,              0.0074026,              0.0074026,              0.0074026
                     55,                0.78209,                0.87453,                  1.042,                0.63838,                0.59743,                0.65451,                0.52175,                0.88786,                 1.5914,                 1.1622,              0.0073526,              0.0073526,              0.0073526
                     56,                0.77943,                0.87374,                 1.0411,                0.76947,                0.60704,                 0.6632,                0.52882,                0.94958,                 1.3829,                 1.1821,              0.0073027,              0.0073027,              0.0073027
                     57,                0.77602,                0.86963,                 1.0401,                0.80297,                0.65255,                0.76749,                0.59895,                0.89814,                 1.1215,                 1.1699,              0.0072528,              0.0072528,              0.0072528
                     58,                0.77844,                0.87299,                 1.0398,                 0.6963,                0.75467,                0.79777,                0.63774,                0.82714,                 1.1332,                 1.0898,              0.0072028,              0.0072028,              0.0072028
                     59,                 0.7796,                0.87241,                 1.0424,                0.75386,                0.79301,                0.83949,                0.67656,                0.78433,                 0.9351,                 1.0641,              0.0071529,              0.0071529,              0.0071529
                     60,                0.78825,                0.87757,                 1.0415,                0.78795,                0.68069,                0.74222,                0.59308,                0.90685,                 1.2439,                 1.1654,              0.0071029,              0.0071029,              0.0071029
                     61,                0.78444,                 0.8705,                 1.0421,                0.86808,                0.80708,                0.86751,                0.70414,                0.77066,                0.89091,                 1.0577,               0.007053,               0.007053,               0.007053
                     62,                0.77169,                0.86462,                 1.0391,                0.76858,                0.73768,                0.78926,                0.64455,                 0.7691,                 1.0031,                 1.0621,               0.007003,               0.007003,               0.007003
                     63,                0.77949,                0.86417,                 1.0437,                0.84302,                0.75797,                 0.8348,                0.64884,                 0.8874,                0.90258,                 1.1466,              0.0069531,              0.0069531,              0.0069531
                     64,                  0.769,                0.86316,                 1.0374,                0.68728,                0.57271,                0.62667,                0.50598,                0.90614,                  1.715,                 1.2197,              0.0069031,              0.0069031,              0.0069031
                     65,                0.77453,                0.87746,                 1.0415,                0.63877,                0.63045,                0.70929,                0.54858,                0.89352,                 1.5358,                 1.1525,              0.0068532,              0.0068532,              0.0068532
                     66,                 0.7817,                0.86842,                 1.0387,                0.70916,                0.76076,                0.78583,                0.62472,                0.81334,                 1.1695,                 1.0785,              0.0068032,              0.0068032,              0.0068032
                     67,                0.76534,                0.85526,                 1.0352,                0.53724,                0.57648,                0.60582,                0.45134,                0.95754,                 1.7692,                 1.2135,              0.0067533,              0.0067533,              0.0067533
                     68,                0.76825,                0.86915,                 1.0398,                0.87993,                0.85078,                0.88164,                0.72169,                0.75115,                0.76241,                 1.0375,              0.0067033,              0.0067033,              0.0067033
                     69,                 0.7782,                  0.858,                 1.0379,                0.80059,                0.76438,                0.83483,                0.68231,                0.76772,                0.95184,                 1.0486,              0.0066534,              0.0066534,              0.0066534
                     70,                0.76535,                0.84289,                 1.0341,                0.71874,                0.65263,                0.71854,                0.57874,                  0.865,                 1.3653,                 1.1447,              0.0066034,              0.0066034,              0.0066034
                     71,                 0.7708,                0.84516,                 1.0407,                 0.8006,                0.81556,                0.86144,                0.69457,                0.77526,                0.99052,                 1.0559,              0.0065535,              0.0065535,              0.0065535
                     72,                0.77832,                 0.8443,                 1.0399,                0.78191,                0.82291,                 0.8662,                0.69813,                0.76279,                0.86497,                 1.0429,              0.0065035,              0.0065035,              0.0065035
                     73,                0.77676,                0.84341,                 1.0388,                0.78671,                0.65475,                0.74266,                0.59778,                 0.7936,                 1.2321,                 1.0713,              0.0064536,              0.0064536,              0.0064536
                     74,                0.75803,                0.81025,                  1.031,                0.77622,                 0.7876,                0.83885,                0.68553,                0.75327,                  1.027,                 1.0385,              0.0064036,              0.0064036,              0.0064036
                     75,                 0.7669,                0.83653,                 1.0355,                0.83798,                0.80961,                0.83596,                0.66313,                0.81437,                0.84298,                 1.0894,              0.0063536,              0.0063536,              0.0063536
                     76,                0.76934,                0.83629,                 1.0384,                0.83548,                0.78934,                0.82703,                0.67308,                0.78882,                 1.0192,                 1.0834,              0.0063037,              0.0063037,              0.0063037
                     77,                 0.7663,                0.83027,                 1.0371,                0.81543,                0.72106,                0.78868,                0.64406,                0.79385,                 1.0838,                 1.0713,              0.0062538,              0.0062538,              0.0062538
                     78,                 0.7752,                0.84576,                 1.0388,                0.88339,                0.71874,                0.81574,                 0.6611,                0.79568,                0.95302,                 1.0681,              0.0062038,              0.0062038,              0.0062038
                     79,                0.76637,                0.81779,                 1.0374,                0.76232,                0.74796,                0.81359,                0.60968,                0.92414,                 1.1014,                 1.1695,              0.0061538,              0.0061538,              0.0061538
                     80,                0.76491,                0.85266,                 1.0346,                0.72796,                0.73512,                0.76568,                0.62114,                 0.7939,                 1.0422,                 1.0732,              0.0061039,              0.0061039,              0.0061039
                     81,                0.76655,                0.82604,                 1.0346,                0.85934,                 0.8283,                0.89202,                0.71722,                0.77487,                0.82161,                 1.0589,               0.006054,               0.006054,               0.006054
                     82,                0.75378,                0.81999,                 1.0316,                0.89253,                0.82384,                0.88179,                0.71686,                0.75734,                0.74227,                 1.0517,               0.006004,               0.006004,               0.006004
                     83,                0.76279,                0.81202,                 1.0359,                0.78197,                0.75448,                0.82792,                0.67826,                0.75988,                0.88273,                 1.0458,               0.005954,               0.005954,               0.005954
                     84,                0.76712,                0.81754,                 1.0371,                0.76997,                  0.726,                0.78637,                0.64623,                0.73907,                 1.0535,                 1.0383,              0.0059041,              0.0059041,              0.0059041
                     85,                0.75386,                0.80713,                 1.0297,                0.78522,                0.62271,                0.73498,                0.59554,                0.82339,                 1.3262,                 1.1036,              0.0058542,              0.0058542,              0.0058542
                     86,                0.75213,                0.80389,                 1.0332,                0.86988,                 0.8054,                0.86789,                0.71118,                0.76538,                0.82003,                 1.0513,              0.0058042,              0.0058042,              0.0058042
                     87,                0.75604,                0.80168,                  1.032,                0.59325,                0.64072,                0.69546,                0.55282,                0.80557,                 1.7577,                 1.0739,              0.0057542,              0.0057542,              0.0057542
                     88,                0.75726,                0.80712,                 1.0356,                  0.833,                0.85871,                0.88489,                0.72708,                0.73891,                0.76322,                 1.0384,              0.0057043,              0.0057043,              0.0057043
                     89,                0.75479,                0.81508,                 1.0307,                0.66527,                0.63581,                 0.7035,                0.56057,                0.84037,                 1.4267,                 1.1158,              0.0056543,              0.0056543,              0.0056543
                     90,                0.75588,                0.80718,                 1.0334,                0.67148,                0.63986,                0.68838,                0.56245,                0.82201,                 1.5249,                 1.1128,              0.0056044,              0.0056044,              0.0056044
                     91,                0.75466,                0.78826,                 1.0322,                0.90531,                0.76158,                0.87831,                0.72569,                0.72773,                0.82057,                 1.0294,              0.0055544,              0.0055544,              0.0055544
                     92,                0.75532,                0.80304,                 1.0314,                0.91587,                 0.8414,                 0.8867,                0.73545,                0.73136,                0.69967,                 1.0204,              0.0055045,              0.0055045,              0.0055045
                     93,                0.75833,                0.80317,                 1.0317,                0.83093,                 0.8164,                0.86083,                0.64763,                0.89639,                0.96507,                 1.1528,              0.0054545,              0.0054545,              0.0054545
                     94,                0.75942,                0.80576,                 1.0349,                0.87551,                0.80381,                0.85926,                0.69654,                0.80218,                0.85214,                 1.0701,              0.0054046,              0.0054046,              0.0054046
                     95,                0.74995,                 0.7757,                 1.0307,                0.78321,                0.76506,                0.84617,                0.69989,                0.75874,                0.98361,                 1.0543,              0.0053546,              0.0053546,              0.0053546
                     96,                0.75097,                0.78108,                 1.0316,                0.85753,                0.81892,                0.87969,                0.72915,                0.72599,                0.77446,                 1.0201,              0.0053047,              0.0053047,              0.0053047
                     97,                0.75202,                0.79162,                  1.029,                0.92322,                0.86112,                0.90677,                0.74047,                0.74072,                0.70797,                  1.027,              0.0052548,              0.0052548,              0.0052548
                     98,                0.75523,                0.80155,                 1.0338,                0.88756,                0.87195,                 0.8931,                0.74206,                0.72265,                0.70927,                 1.0229,              0.0052048,              0.0052048,              0.0052048
                     99,                0.74822,                0.78479,                 1.0258,                0.88255,                0.78743,                0.85471,                0.70936,                0.73501,                0.87623,                 1.0261,              0.0051548,              0.0051548,              0.0051548
                    100,                  0.739,                0.77073,                 1.0268,                0.78627,                0.85533,                0.87726,                 0.7303,                0.71686,                 1.0875,                 1.0142,              0.0051049,              0.0051049,              0.0051049
                    101,                0.74018,                0.75995,                 1.0245,                0.89358,                0.86432,                0.89088,                0.73404,                  0.727,                0.69139,                 1.0246,               0.005055,               0.005055,               0.005055
                    102,                0.73871,                0.75372,                 1.0258,                0.88649,                0.84822,                0.88871,                0.72809,                0.73994,                0.70943,                 1.0324,               0.005005,               0.005005,               0.005005
                    103,                0.74576,                0.77738,                 1.0297,                   0.81,                0.70397,                0.79567,                0.64637,                0.80102,                 1.0105,                 1.0859,               0.004955,               0.004955,               0.004955
                    104,                 0.7492,                0.78827,                 1.0321,                0.92024,                0.82271,                0.88377,                0.72769,                0.73714,                0.70515,                 1.0219,              0.0049051,              0.0049051,              0.0049051
                    105,                0.74366,                0.76761,                 1.0269,                0.83952,                0.80827,                0.86562,                0.71419,                0.72405,                0.85328,                 1.0159,              0.0048551,              0.0048551,              0.0048551
                    106,                0.74558,                0.76685,                 1.0282,                0.83393,                0.80178,                0.84961,                0.70716,                0.72757,                0.87819,                 1.0199,              0.0048052,              0.0048052,              0.0048052
                    107,                0.73804,                0.76669,                 1.0259,                 0.8115,                0.80408,                0.85594,                0.70156,                0.73475,                0.82914,                 1.0288,              0.0047552,              0.0047552,              0.0047552
                    108,                0.74621,                0.76461,                 1.0272,                0.78142,                0.82798,                0.85136,                0.70126,                0.73244,                 0.7799,                 1.0232,              0.0047053,              0.0047053,              0.0047053
                    109,                0.74333,                 0.7695,                 1.0287,                0.83295,                 0.7948,                0.86899,                0.71092,                0.77587,                0.88264,                 1.0684,              0.0046553,              0.0046553,              0.0046553
                    110,                0.74517,                0.77676,                 1.0298,                0.81648,                0.85353,                0.88718,                0.73502,                0.73307,                0.71162,                 1.0228,              0.0046054,              0.0046054,              0.0046054
                    111,                0.73858,                0.75121,                 1.0261,                  0.887,                0.88293,                0.90843,                0.74528,                0.74222,                0.61063,                 1.0301,              0.0045554,              0.0045554,              0.0045554
                    112,                0.73927,                0.75372,                  1.028,                0.89406,                0.87982,                0.89938,                0.74543,                 0.7321,                0.62289,                 1.0177,              0.0045055,              0.0045055,              0.0045055
                    113,                0.73873,                0.76397,                 1.0274,                0.80749,                0.82163,                0.87045,                0.72279,                0.72849,                0.76778,                 1.0267,              0.0044555,              0.0044555,              0.0044555
                    114,                0.73015,                0.74328,                 1.0238,                0.90609,                0.85323,                0.89062,                0.74271,                0.73277,                0.74941,                 1.0293,              0.0044056,              0.0044056,              0.0044056
                    115,                0.72993,                 0.7632,                 1.0243,                0.91339,                0.85196,                0.88472,                0.73313,                0.72095,                0.63651,                 1.0123,              0.0043557,              0.0043557,              0.0043557
                    116,                0.73334,                0.74761,                 1.0234,                0.93211,                0.86651,                0.89885,                 0.7446,                0.73327,                0.64781,                 1.0252,              0.0043057,              0.0043057,              0.0043057
                    117,                 0.7427,                0.75351,                 1.0284,                0.88673,                0.85973,                0.89246,                0.74392,                0.72412,                0.69886,                 1.0157,              0.0042558,              0.0042558,              0.0042558
                    118,                0.73794,                0.74891,                 1.0281,                0.80882,                0.85908,                0.89958,                0.75013,                0.70639,                0.70142,                 1.0074,              0.0042058,              0.0042058,              0.0042058
                    119,                0.73579,                0.75375,                 1.0257,                0.83448,                0.89511,                0.91146,                0.75029,                0.71106,                0.62974,                 1.0172,              0.0041559,              0.0041559,              0.0041559
                    120,                0.72432,                0.73815,                 1.0202,                0.91686,                 0.8913,                0.91115,                0.76407,                0.70934,                0.58981,                 1.0044,              0.0041059,              0.0041059,              0.0041059
                    121,                0.72933,                0.72148,                 1.0226,                0.88503,                0.90258,                0.91052,                 0.7615,                 0.7142,                0.62796,                 1.0116,               0.004056,               0.004056,               0.004056
                    122,                0.73123,                0.74397,                 1.0234,                0.90971,                0.86234,                0.90434,                0.74219,                 0.7491,                0.68155,                 1.0431,               0.004006,               0.004006,               0.004006
                    123,                 0.7369,                0.74374,                 1.0307,                0.79717,                0.83476,                0.88154,                0.72567,                0.72759,                0.79377,                 1.0209,              0.0039561,              0.0039561,              0.0039561
                    124,                0.73494,                0.74227,                 1.0245,                0.88647,                0.88151,                0.91616,                0.75393,                0.71786,                0.65664,                 1.0096,              0.0039061,              0.0039061,              0.0039061
                    125,                0.73051,                0.72602,                 1.0226,                0.89246,                0.90119,                0.91179,                0.76977,                0.68345,                0.57544,                0.99014,              0.0038562,              0.0038562,              0.0038562
                    126,                 0.7276,                0.71967,                 1.0204,                0.90064,                0.87038,                 0.9081,                0.75759,                0.70966,                0.61165,                 1.0089,              0.0038062,              0.0038062,              0.0038062
                    127,                 0.7202,                0.69995,                 1.0183,                0.85642,                0.87284,                0.89107,                0.74395,                0.70092,                0.70624,                 1.0082,              0.0037563,              0.0037563,              0.0037563
                    128,                0.72666,                0.71661,                 1.0226,                0.89703,                0.85445,                0.90829,                0.76009,                0.71073,                0.64031,                 1.0059,              0.0037063,              0.0037063,              0.0037063
                    129,                0.72649,                0.71856,                 1.0229,                0.87308,                0.89758,                0.90758,                0.75753,                0.70975,                 0.6296,                 1.0041,              0.0036564,              0.0036564,              0.0036564
                    130,                0.72157,                0.71961,                 1.0199,                0.94346,                0.90586,                0.91757,                0.76356,                0.69488,                0.58779,                 0.9981,              0.0036064,              0.0036064,              0.0036064
                    131,                0.72831,                0.71954,                 1.0256,                0.89192,                0.87805,                0.90823,                0.75874,                0.70349,                0.64793,                  1.006,              0.0035565,              0.0035565,              0.0035565
                    132,                0.72131,                0.70362,                 1.0188,                0.92757,                0.90667,                0.91651,                 0.7712,                 0.6828,                0.54942,                0.99208,              0.0035065,              0.0035065,              0.0035065
                    133,                0.71692,                0.69818,                 1.0171,                 0.9335,                0.87926,                0.90599,                0.75959,                0.69056,                0.61947,                0.99151,              0.0034566,              0.0034566,              0.0034566
                    134,                0.71444,                0.71071,                 1.0195,                0.90119,                0.85091,                0.89499,                0.74586,                0.71424,                0.66301,                 1.0147,              0.0034066,              0.0034066,              0.0034066
                    135,                0.71604,                0.70003,                 1.0183,                0.92509,                0.89373,                0.91732,                 0.7706,                0.69869,                0.57073,                 1.0048,              0.0033567,              0.0033567,              0.0033567
                    136,                0.71811,                0.70075,                 1.0211,                0.92674,                0.90612,                0.90443,                0.76521,                0.68049,                0.58544,                0.98563,              0.0033067,              0.0033067,              0.0033067
                    137,                0.72134,                0.70679,                 1.0216,                0.89201,                 0.9092,                0.90421,                0.75993,                0.68775,                0.60285,                0.99173,              0.0032567,              0.0032567,              0.0032567
                    138,                0.72118,                0.70311,                 1.0228,                0.91205,                0.92441,                0.91871,                0.77317,                0.69105,                0.53297,                0.99287,              0.0032068,              0.0032068,              0.0032068
                    139,                0.71951,                0.69578,                 1.0176,                0.92121,                0.87943,                0.91185,                0.76863,                0.69226,                0.57008,                0.99276,              0.0031568,              0.0031568,              0.0031568
                    140,                0.72001,                0.70264,                 1.0185,                0.93582,                0.88809,                0.91304,                0.76955,                0.68528,                0.58769,                0.98905,              0.0031069,              0.0031069,              0.0031069
                    141,                0.71595,                0.68458,                 1.0196,                0.97195,                0.89564,                0.91717,                0.77322,                0.69565,                 0.5532,                0.99573,               0.003057,               0.003057,               0.003057
                    142,                0.71282,                0.68393,                 1.0184,                0.85374,                0.88029,                0.89617,                0.74195,                0.70871,                0.66675,                 1.0091,               0.003007,               0.003007,               0.003007
                    143,                0.71413,                 0.6963,                 1.0171,                0.94149,                0.90119,                0.92165,                0.77602,                0.68868,                0.58258,                0.99319,              0.0029571,              0.0029571,              0.0029571
                    144,                0.71369,                0.69188,                 1.0185,                0.89885,                0.90126,                0.92291,                0.77298,                0.69824,                0.60154,                0.99567,              0.0029071,              0.0029071,              0.0029071
                    145,                0.71387,                0.68526,                 1.0187,                0.92091,                0.89361,                0.91952,                 0.7702,                0.69594,                0.57851,                0.99475,              0.0028572,              0.0028572,              0.0028572
                    146,                0.71403,                 0.6804,                  1.019,                0.92553,                 0.9039,                0.91731,                0.76831,                0.70101,                 0.5288,                 1.0027,              0.0028072,              0.0028072,              0.0028072
                    147,                0.71121,                0.69714,                 1.0159,                0.92192,                0.91461,                0.92308,                0.77929,                0.68311,                0.56401,                 0.9869,              0.0027573,              0.0027573,              0.0027573
                    148,                0.71304,                0.68368,                 1.0167,                0.96227,                0.91262,                0.90909,                0.76321,                0.68174,                0.52069,                 0.9855,              0.0027073,              0.0027073,              0.0027073
                    149,                0.70826,                0.67304,                 1.0156,                0.92739,                0.89139,                0.92076,                0.77861,                0.68074,                0.55539,                0.98474,              0.0026574,              0.0026574,              0.0026574
                    150,                0.70965,                0.66673,                 1.0182,                0.88061,                0.88495,                0.91683,                0.76719,                0.69929,                0.59081,                0.99772,              0.0026074,              0.0026074,              0.0026074
                    151,                0.70845,                0.67003,                 1.0156,                0.91695,                0.89714,                0.91995,                0.77399,                0.68482,                0.54274,                0.98905,              0.0025575,              0.0025575,              0.0025575
