                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1193,                 3.3779,                 1.3563,                0.00095,                0.33334,                0.00106,                0.00023,                 3.5308,                    inf,                  11.45,                 0.0757,                 0.0027,                 0.0027
                      2,                 0.9295,                 2.0512,                 1.1511,                0.46505,                0.12486,                0.00145,                0.00046,                 3.8306,                    inf,                 14.416,               0.050473,              0.0054725,              0.0054725
                      3,                0.90024,                 1.6885,                 1.1129,                0.29618,                0.15888,                0.01546,                0.00591,                  2.363,                    inf,                 4.2748,               0.025217,              0.0082171,              0.0082171
                      4,                0.88881,                 1.5089,                 1.0981,                0.03001,                 0.4009,                0.06613,                0.03136,                 2.0295,                 6.5178,                 2.7201,              0.0098502,              0.0098502,              0.0098502
                      5,                 0.8811,                 1.4021,                 1.0881,                0.32443,                 0.2079,                0.16897,                0.10301,                 1.5007,                  3.636,                 1.6535,              0.0098502,              0.0098502,              0.0098502
                      6,                0.86494,                 1.2933,                 1.0755,                0.56759,                0.21413,                0.18417,                0.12502,                 1.4772,                 3.2724,                 1.8794,              0.0098002,              0.0098002,              0.0098002
                      7,                0.85693,                 1.2438,                 1.0736,                0.04632,                0.22804,                0.06301,                0.03962,                  1.419,                 5.8156,                 1.6801,              0.0097503,              0.0097503,              0.0097503
                      8,                0.85027,                 1.1924,                 1.0714,                0.60844,                0.58718,                0.62801,                0.45592,                 1.0468,                 1.6339,                 1.3048,              0.0097003,              0.0097003,              0.0097003
                      9,                0.85055,                  1.162,                 1.0669,                0.61638,                0.18426,                 0.2468,                0.16576,                 1.6083,                 3.6623,                 1.5551,              0.0096504,              0.0096504,              0.0096504
                     10,                0.83682,                  1.136,                  1.061,                0.45027,                0.56433,                0.49995,                0.37582,                0.98576,                 4.6791,                 1.2498,              0.0096004,              0.0096004,              0.0096004
                     11,                0.84627,                  1.135,                 1.0655,                 0.5153,                0.49173,                0.49625,                0.37179,                 1.0123,                  2.103,                 1.2346,              0.0095505,              0.0095505,              0.0095505
                     12,                0.84082,                 1.1096,                 1.0652,                  0.237,                0.50576,                0.38574,                0.31867,                 1.0653,                 3.7469,                 1.3715,              0.0095005,              0.0095005,              0.0095005
                     13,                0.84007,                 1.1037,                 1.0634,                0.52354,                0.64867,                0.63936,                0.44857,                 1.0864,                 10.537,                  1.317,              0.0094506,              0.0094506,              0.0094506
                     14,                0.82529,                 1.0838,                 1.0556,                0.62196,                0.50355,                0.55954,                0.38637,                 1.1908,                 2.1346,                 1.3871,              0.0094006,              0.0094006,              0.0094006
                     15,                0.82653,                 1.0646,                 1.0552,                 0.5886,                0.44752,                0.48112,                0.36362,                 0.9485,                 2.3811,                  1.193,              0.0093507,              0.0093507,              0.0093507
                     16,                0.82482,                 1.0582,                 1.0566,                0.70126,                0.59898,                0.69044,                0.53969,                0.87243,                 1.5043,                 1.1421,              0.0093007,              0.0093007,              0.0093007
                     17,                0.81857,                 1.0653,                  1.054,                0.56795,                0.47292,                0.54954,                0.40867,                0.96418,                 1.9534,                 1.2148,              0.0092508,              0.0092508,              0.0092508
                     18,                 0.8167,                 1.0523,                 1.0539,                0.53095,                0.64408,                0.65419,                0.49651,                0.93427,                 2.2318,                 1.1747,              0.0092008,              0.0092008,              0.0092008
                     19,                0.81752,                  1.045,                 1.0557,                0.59265,                0.37362,                0.39088,                0.27287,                  1.252,                 2.5503,                 1.4658,              0.0091509,              0.0091509,              0.0091509
                     20,                0.81021,                 1.0272,                  1.053,                0.59118,                0.56425,                0.56348,                0.42511,                 1.0247,                  2.015,                 1.2259,              0.0091009,              0.0091009,              0.0091009
